asset_hash	type_hash	type_name	scope	wad	row_index	block_index	block_path	lod_rungs	payload_bytes	payload_fnv1a64	verdict
0xC9706D16	0x42498680	script	cross	shell.wad	261	17	blocks\Shell\resident_P000_Q3.block	1	88174	BACE7233FBFAA3B8	IDENTICAL
0xC9706D16	0x42498680	script	cross	vz.wad	13663	3185	blocks\VZ\resident_P000_Q3.block	1	88174	BACE7233FBFAA3B8	IDENTICAL
0xCC3D675F	0xF011157A	texture	cross	shell.wad	454	32	blocks\Shell\cloud_noise_P000_Q3.block	1	1048710	EF8D9620207D92C4	IDENTICAL
0xCC3D675F	0xF011157A	texture	cross	vz.wad	23533	2137	blocks\VZ\c32193_P000_Q3.block	1	1048710	EF8D9620207D92C4	IDENTICAL
0xCDC5E1DA	0xF011157A	texture	cross	shell.wad	355	8	blocks\Shell\common_P000_Q3.block	1	32986	5E4A8C51ED0A2DD7	IDENTICAL
0xCDC5E1DA	0xF011157A	texture	cross	vz.wad	18795	3058	blocks\VZ\common_P000_Q3.block	1	32986	5E4A8C51ED0A2DD7	IDENTICAL
0xD00FDF05	0x42498680	script	cross	shell.wad	97	17	blocks\Shell\resident_P000_Q3.block	1	7637	572983C9E5BA7AC2	IDENTICAL
0xD00FDF05	0x42498680	script	cross	vz.wad	5187	3185	blocks\VZ\resident_P000_Q3.block	1	7637	572983C9E5BA7AC2	IDENTICAL
0xD2380186	0xF011157A	texture	cross	shell.wad	104	17	blocks\Shell\resident_P000_Q3.block	1	131221	6DBB3B2DAEE43FFD	IDENTICAL
0xD2380186	0xF011157A	texture	cross	vz.wad	5673	3185	blocks\VZ\resident_P000_Q3.block	1	131221	6DBB3B2DAEE43FFD	IDENTICAL
0xD4D60271	0x42498680	script	cross	shell.wad	29	17	blocks\Shell\resident_P000_Q3.block	1	28786	F0A935D9C62120F8	IDENTICAL
0xD4D60271	0x42498680	script	cross	vz.wad	1715	3185	blocks\VZ\resident_P000_Q3.block	1	28786	F0A935D9C62120F8	IDENTICAL
0xD54EA3DE	0xF011157A	texture	cross	shell.wad	131	17	blocks\Shell\resident_P000_Q3.block	1	16522	77C4DD97B13A1F39	IDENTICAL
0xD54EA3DE	0xF011157A	texture	cross	vz.wad	6903	3185	blocks\VZ\resident_P000_Q3.block	1	16522	77C4DD97B13A1F39	IDENTICAL
0xDD4573C5	0x9F8BCA10	soundbank	cross	shell.wad	59	33	blocks\Shell\ui_hud_P000_Q3.block	1	18736	036B98648E381DD3	IDENTICAL
0xDD4573C5	0x9F8BCA10	soundbank	cross	vz.wad	3212	3505	blocks\VZ\ui_hud_P000_Q3.block	1	18736	036B98648E381DD3	IDENTICAL
0xDD4573C5	0xE5273C14	sounddb	cross	shell.wad	234	33	blocks\Shell\ui_hud_P000_Q3.block	1	1132	CAF19D265390530B	IDENTICAL
0xDD4573C5	0xE5273C14	sounddb	cross	vz.wad	11974	3505	blocks\VZ\ui_hud_P000_Q3.block	1	1132	CAF19D265390530B	IDENTICAL
0xDD4573C5	0xF753F6D0	wavebank	cross	shell.wad	474	33	blocks\Shell\ui_hud_P000_Q3.block	1	3408288	33268E83B4D855B1	IDENTICAL
0xDD4573C5	0xF753F6D0	wavebank	cross	vz.wad	24879	3505	blocks\VZ\ui_hud_P000_Q3.block	1	3408288	33268E83B4D855B1	IDENTICAL
0xDF6921B1	0xF011157A	texture	cross	shell.wad	218	8	blocks\Shell\common_P000_Q3.block	1	16602	72F2EFB59444C493	IDENTICAL
0xDF6921B1	0xF011157A	texture	cross	vz.wad	11355	3058	blocks\VZ\common_P000_Q3.block	1	16602	72F2EFB59444C493	IDENTICAL
0xE07BEEAD	0x42498680	script	cross	shell.wad	382	17	blocks\Shell\resident_P000_Q3.block	1	7239	5C8D921D891AFE8B	IDENTICAL
0xE07BEEAD	0x42498680	script	cross	vz.wad	20360	3185	blocks\VZ\resident_P000_Q3.block	1	7239	5C8D921D891AFE8B	IDENTICAL
0xE7A89B5C	0x9F8BCA10	soundbank	cross	shell.wad	465	35	blocks\Shell\ui_shell_P000_Q3.block	1	6068	2433C798B6F76E0C	IDENTICAL
0xE7A89B5C	0x9F8BCA10	soundbank	cross	vz.wad	24348	3525	blocks\VZ\ui_shell_P000_Q3.block	1	6068	2433C798B6F76E0C	IDENTICAL
0xE7A89B5C	0xE5273C14	sounddb	cross	shell.wad	413	35	blocks\Shell\ui_shell_P000_Q3.block	1	364	23D44500F4CC2370	IDENTICAL
0xE7A89B5C	0xE5273C14	sounddb	cross	vz.wad	21842	3525	blocks\VZ\ui_shell_P000_Q3.block	1	364	23D44500F4CC2370	IDENTICAL
0xE7A89B5C	0xF753F6D0	wavebank	cross	shell.wad	265	35	blocks\Shell\ui_shell_P000_Q3.block	1	7952144	81FC8252DD6DC8A9	IDENTICAL
0xE7A89B5C	0xF753F6D0	wavebank	cross	vz.wad	13786	3525	blocks\VZ\ui_shell_P000_Q3.block	1	7952144	81FC8252DD6DC8A9	IDENTICAL
0xE8DF4D87	0xE8DF4D87	musiccue	cross	shell.wad	419	12	blocks\Shell\musicdata_P000_Q3.block	1	23452	CCB4CBCA55FC3B68	IDENTICAL
0xE8DF4D87	0xE8DF4D87	musiccue	cross	vz.wad	22005	3091	blocks\VZ\musicdata_P000_Q3.block	1	23452	CCB4CBCA55FC3B68	IDENTICAL
0xEBB855A6	0xF011157A	texture	cross	shell.wad	375	8	blocks\Shell\common_P000_Q3.block	1	16599	0BC6A45462F72C1D	IDENTICAL
0xEBB855A6	0xF011157A	texture	cross	vz.wad	20133	3058	blocks\VZ\common_P000_Q3.block	1	16599	0BC6A45462F72C1D	IDENTICAL
0xECFE0AE2	0x8F0A54E2	binary	cross	shell.wad	91	17	blocks\Shell\resident_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0xECFE0AE2	0x8F0A54E2	binary	cross	vz.wad	5045	3185	blocks\VZ\resident_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0xF0752EA2	0x8F0A54E2	binary	cross	shell.wad	124	4	blocks\Shell\ps3saveassets_it_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0xF0752EA2	0x8F0A54E2	binary	cross	vz.wad	6676	2995	blocks\VZ\ps3saveassets_it_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0xF148D251	0x42498680	script	cross	shell.wad	530	17	blocks\Shell\resident_P000_Q3.block	1	40650	987A7474BE1D53DE	IDENTICAL
0xF148D251	0x42498680	script	cross	vz.wad	28503	3185	blocks\VZ\resident_P000_Q3.block	1	40650	987A7474BE1D53DE	IDENTICAL
0xF1DF7A3B	0x42498680	script	cross	shell.wad	558	17	blocks\Shell\resident_P000_Q3.block	1	2361	370E44BEC51EEC91	IDENTICAL
0xF1DF7A3B	0x42498680	script	cross	vz.wad	29845	3185	blocks\VZ\resident_P000_Q3.block	1	2361	370E44BEC51EEC91	IDENTICAL
0xF64BAABA	0xF011157A	texture	cross	shell.wad	532	17	blocks\Shell\resident_P000_Q3.block	1	16528	64975B393C2C49E6	IDENTICAL
0xF64BAABA	0xF011157A	texture	cross	vz.wad	28673	3185	blocks\VZ\resident_P000_Q3.block	1	16528	64975B393C2C49E6	IDENTICAL
0xF75D6CF1	0x42498680	script	cross	shell.wad	537	17	blocks\Shell\resident_P000_Q3.block	1	23989	D7F1BCAF45752EEB	IDENTICAL
0xF75D6CF1	0x42498680	script	cross	vz.wad	28761	3185	blocks\VZ\resident_P000_Q3.block	1	23989	D7F1BCAF45752EEB	IDENTICAL
0xF9E81CC9	0xF011157A	texture	cross	shell.wad	242	17	blocks\Shell\resident_P000_Q3.block	1	131215	8E0AF613C4F00D1A	IDENTICAL
0xF9E81CC9	0xF011157A	texture	cross	vz.wad	12447	3185	blocks\VZ\resident_P000_Q3.block	1	131215	8E0AF613C4F00D1A	IDENTICAL
0xFF512B83	0x42498680	script	cross	shell.wad	469	17	blocks\Shell\resident_P000_Q3.block	1	2708	E324307BEA8A2ED8	IDENTICAL
0xFF512B83	0x42498680	script	cross	vz.wad	24711	3185	blocks\VZ\resident_P000_Q3.block	1	2708	E324307BEA8A2ED8	IDENTICAL
