readable,xbox_va,mangled,flags
"WSDamageableGroup::ActivateGroup",0x82673f60,"?ActivateGroup@WSDamageableGroup@@QAAXPAVOdinMesh@@_N@Z",
"WSDamageableGroup::ActivatePart",0x82674210,"?ActivatePart@WSDamageableGroup@@AAAXPAVOdinMesh@@PAVWSDamageablePart@@_N@Z",
"WSDamageableGroup::IsBoneChildGroup",0x82673de0,"?IsBoneChildGroup@WSDamageableGroup@@QAA_NVPblCRC@@@Z",
"WSDamageableGroup::IsBoneInGroup",0x82673e60,"?IsBoneInGroup@WSDamageableGroup@@QAA_NVPblCRC@@@Z",
"WSDamageablePart::ApplyDamage",0x82673b28,"?ApplyDamage@WSDamageablePart@@UAAXABVWSDamageDesc@@@Z",
"WSDamageablePart::Die",0x82673aa0,"?Die@WSDamageablePart@@UAAXXZ",
"WSDamageablePart::FindDamageable",0x82673960,"?FindDamageable@WSDamageablePart@@UAAPAVWSDamageable@@PAVWSSkeletonBone@@@Z",
"WSDamageablePart::GetBlueprint",0x826737e8,"?GetBlueprint@WSDamageablePart@@UAAPAVWSBlueprint@@XZ",
"WSDamageablePart::GetDamageablePart",0x82674b90,"?GetDamageablePart@WSDamageablePart@@UAAPAV1@XZ",
"WSDamageablePart::GetDamageablePartBlueprint",0x82674a08,"?GetDamageablePartBlueprint@WSDamageablePart@@QAAPAVWSDamageablePartBlueprint@@XZ",
"WSDamageablePart::GetPartType",0x82674b60,"?GetPartType@WSDamageablePart@@UAAHXZ",
"WSDamageablePart::HasBone",0x82673838,"?HasBone@WSDamageablePart@@UAA_NVPblCRC@@@Z",
"WSDamageablePart::SubshapeMovedCallback",0x82674b48,"?SubshapeMovedCallback@WSDamageablePart@@UAAXPAVWSShapeController@@HABVPblVector3@@1@Z",
"WSDamageablePartBlueprint",0x826766c8,"??_DWSDamageablePartBlueprint@@QAAXXZ",
"WSDamageablePartBlueprint::GetDamageablePartBlueprint",0x82676c18,"?GetDamageablePartBlueprint@WSDamageablePartBlueprint@@$4PPPPPPPM@A@AAPAV1@XZ",
"WSDamageablePartBlueprint::GetDamageablePartBlueprint",0x82676c28,"?GetDamageablePartBlueprint@WSDamageablePartBlueprint@@UAAPAV1@XZ",
"WSDamageablePartBlueprint::SetDamageableProperty",0x82671748,"?SetDamageableProperty@WSDamageablePartBlueprint@@UAA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageablePartBlueprint::SetDamageableProperty",0x82676c08,"?SetDamageableProperty@WSDamageablePartBlueprint@@$4PPPPPPPM@A@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRoot::BreakRandomConstraint",0x82432c48,"?BreakRandomConstraint@WSDamageableRoot@@UAAXPAVWSDamageablePart@@@Z",
"WSDamageableRoot::Die",0x82673060,"?Die@WSDamageableRoot@@UAAXXZ",
"WSDamageableRoot::FindDamageable",0x82673148,"?FindDamageable@WSDamageableRoot@@UAAPAVWSDamageable@@PAVWSSkeletonBone@@@Z",
"WSDamageableRoot::IsDead",0x82673238,"?IsDead@WSDamageableRoot@@QAA_NXZ",
"WSDamageableRoot::PartDied",0x82673340,"?PartDied@WSDamageableRoot@@UAAXPAVWSDamageablePart@@@Z",
"WSDamageableRoot::SubshapeMovedCallback",0x82432c30,"?SubshapeMovedCallback@WSDamageableRoot@@UAAXPAVWSShapeController@@HABVPblVector3@@1@Z",
"WSDamageableRootBlueprint",0x82674968,"??_DWSDamageableRootBlueprint@@QAAXXZ",
"WSDamageableRootBlueprint::GetDamageablePartFromBone",0x82671588,"?GetDamageablePartFromBone@WSDamageableRootBlueprint@@QAAPAVWSDamageablePartBlueprint@@VPblCRC@@@Z",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x82433cb0,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@BJI@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x82433cc0,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@UAAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x824a2e40,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@BAA@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x825c7368,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@ENM@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x825e6a68,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@A@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x8262d6c8,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@JBE@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x8262f498,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@JDE@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x82633150,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@CMA@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x826351f0,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@EAE@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetDamageableRootBlueprint",0x826d8080,"?GetDamageableRootBlueprint@WSDamageableRootBlueprint@@$4PPPPPPPM@CKI@AAPAV1@XZ",
"WSDamageableRootBlueprint::GetNDamageGroups",0x824a1570,"?GetNDamageGroups@WSDamageableRootBlueprint@@QAAHXZ",
"WSDamageableRootBlueprint::SetDamageableProperty",0x82433b78,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@BKA@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x824a3190,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@BAA@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x825c76a8,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@ENM@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x825e68d8,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@A@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x8262da78,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@JBE@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x8262f758,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@JDE@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x82632ee0,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@CMA@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x826354a8,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@EAE@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x82671230,"?SetDamageableProperty@WSDamageableRootBlueprint@@UAA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableRootBlueprint::SetDamageableProperty",0x826d8240,"?SetDamageableProperty@WSDamageableRootBlueprint@@$4PPPPPPPM@CKI@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDecal::Kill",0x8285ff58,"?Kill@WSDecal@@QAAXXZ",
"WSDestructable::AncestorKilled",0x8267a548,"?AncestorKilled@WSDestructable@@UAAXPAVWSDamageable@@@Z",
"WSDestructable::CreateDynamicPart",0x826797a8,"?CreateDynamicPart@WSDestructable@@QAAXPAVWSPhysicsObject@@M@Z",
"WSDestructable::DebugRender",0x82676f38,"?DebugRender@WSDestructable@@UAAXXZ",
"WSDestructable::DeferActivateBone",0x8267a670,"?DeferActivateBone@WSDestructable@@SAXPAVWSDamageableGroup@@PAVOdinMesh@@PAVPclBone@@_N@Z",
"WSDestructable::DeferCreateDynamicPart",0x826795a8,"?DeferCreateDynamicPart@WSDestructable@@SAXPAV1@PAVWSPhysicsObject@@M@Z",
"WSDestructable::DeferReInstance",0x8267a868,"?DeferReInstance@WSDestructable@@SAXV?$PblHandle@VOdinMesh@@@@@Z",
"WSDestructable::Die",0x8267a2b0,"?Die@WSDestructable@@UAAXXZ",
"WSDestructable::GetDestructable",0x82433b18,"?GetDestructable@WSDestructable@@$4PPPPPPPM@OE@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x82433b28,"?GetDestructable@WSDestructable@@UAAPAV1@XZ",
"WSDestructable::GetDestructable",0x82433dd0,"?GetDestructable@WSDestructable@@$4PPPPPPPM@CIE@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x824a3120,"?GetDestructable@WSDestructable@@$4PPPPPPPM@PI@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x824a3268,"?GetDestructable@WSDestructable@@$4PPPPPPPM@BAA@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x825c74b8,"?GetDestructable@WSDestructable@@$4PPPPPPPM@BLA@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x825dc4c0,"?GetDestructable@WSDestructable@@$4PPPPPPPM@BKA@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x825e69b8,"?GetDestructable@WSDestructable@@$4PPPPPPPM@7AAPAV1@XZ",
"WSDestructable::GetDestructable",0x8262d968,"?GetDestructable@WSDestructable@@$4PPPPPPPM@MNA@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x8262f6f0,"?GetDestructable@WSDestructable@@$4PPPPPPPM@NAA@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x82630bb0,"?GetDestructable@WSDestructable@@$4PPPPPPPM@BEI@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x82632f50,"?GetDestructable@WSDestructable@@$4PPPPPPPM@FCI@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x826353d8,"?GetDestructable@WSDestructable@@$4PPPPPPPM@FHI@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x8267b798,"?GetDestructable@WSDestructable@@$4PPPPPPPM@A@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x826a8ff0,"?GetDestructable@WSDestructable@@$4PPPPPPPM@BI@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x826d81e0,"?GetDestructable@WSDestructable@@$4PPPPPPPM@DA@AAPAV1@XZ",
"WSDestructable::GetDestructable",0x828a1510,"?GetDestructable@WSDestructable@@$4PPPPPPPM@BBM@AAPAV1@XZ",
"WSDestructable::GetGroupDamageState",0x8267a590,"?GetGroupDamageState@WSDestructable@@QAAHVPblCRC@@@Z",
"WSDestructable::Kill",0x8267a340,"?Kill@WSDestructable@@QAAXXZ",
"WSDestructable::ModifyBone",0x82679310,"?ModifyBone@WSDestructable@@QAAXPAVWSModel@@PAVWSSkeletonBone@@PAVWSDamageableGroup@@@Z",
"WSDestructable::OnFinishedSettingUp",0x82677030,"?OnFinishedSettingUp@WSDestructable@@UAAXXZ",
"WSDestructable::ProcessDeadParts",0x82677c80,"?ProcessDeadParts@WSDestructable@@SAXXZ",
"WSDestructable::RearrangeControlledBones",0x826784c8,"?RearrangeControlledBones@WSDestructable@@QAAXXZ",
"WSDestructable::SafeCastTo",0x82433b88,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@OE@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x82433b98,"?SafeCastTo@WSDestructable@@UAA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x82433e20,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@CIE@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x824a31a0,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@PI@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x824a32c0,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@BAA@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x825c7500,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@BLA@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x825dc4e0,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@BKA@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x825e6a08,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@7AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x8262d9f8,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@MNA@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x8262f7a0,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@NAA@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x82630c00,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@BEI@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x82632fd8,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@FCI@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x82635460,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@FHI@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x8267b7b8,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@A@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x826a9030,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@BI@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x826d8270,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@DA@AA_NAAPAV1@@Z",
"WSDestructable::SafeCastTo",0x828a1588,"?SafeCastTo@WSDestructable@@$4PPPPPPPM@BBM@AA_NAAPAV1@@Z",
"WSDestructable::SetGroupDamageState",0x8267a0e8,"?SetGroupDamageState@WSDestructable@@UAA_NVPblCRC@@H@Z",
"WSDestructable::TellChildrenAncestorKilled",0x8267a448,"?TellChildrenAncestorKilled@WSDestructable@@UAAXPAVWSDamageable@@@Z",
"WSDestructable::UpdatePhysicsObjects",0x82678a50,"?UpdatePhysicsObjects@WSDestructable@@UAAXXZ",
"WSDestructable::UpdateSynched",0x8267a9f0,"?UpdateSynched@WSDestructable@@SAXXZ",
"WSDynamicPart",0x8267b368,"??_DWSDynamicPart@@QAAXXZ",
"WSDynamicPart::DeactivateEntity",0x8267b090,"?DeactivateEntity@WSDynamicPart@@UAAXXZ",
"WSDynamicPart::DeleteSynched",0x8267b0e0,"?DeleteSynched@WSDynamicPart@@UAAXXZ",
"WSDynamicPart::InitUNSynched",0x8267b138,"?InitUNSynched@WSDynamicPart@@UAAXXZ",
"WSDynamicPart::Update",0x8267af58,"?Update@WSDynamicPart@@UAAXM@Z",
"WSDynamicPart::UpdateMatrixCallback",0x8267b1b0,"?UpdateMatrixCallback@WSDynamicPart@@UAAXAAVPblMatrix4x4@@PAVWSPhysicsObject@@@Z",
"WSExplosion::AddVictim",0x824653e0,"?AddVictim@WSExplosion@@QAAXPAVWSPhysicsObject@@ABUWSForceDesc@@ABVWSDamageDesc@@M@Z",
"WSExplosion::CreateExplosion",0x824665e8,"?CreateExplosion@WSExplosion@@SAXMABVPblVector3@@MMVPblCRC@@1@Z",
"WSExplosion::CreateExplosionDeferred",0x82466510,"?CreateExplosionDeferred@WSExplosion@@SAXMABVPblVector3@@MMVPblCRC@@1H@Z",
"WSExplosion::E?ms_DeferredExplosionAllocator",0x833496e0,"??__E?ms_DeferredExplosionAllocator@WSExplosion@@0V?$WSLocalAllocator@UWSDeferredCreateExplosion@@$0CA@@@A@@YAXXZ",
"WSExplosion::E?ms_VictimAllocator",0x833496a8,"??__E?ms_VictimAllocator@WSExplosion@@0V?$WSLocalAllocator@UVictim@WSExplosion@@$0PP@@@A@@YAXXZ",
"WSExplosion::E?s_DeferredCreateExplosions",0x83349638,"??__E?s_DeferredCreateExplosions@WSExplosion@@1V?$PblListInv@UWSDeferredCreateExplosion@@@@A@@YAXXZ",
"WSExplosion::E?s_ExplosionList",0x83349670,"??__E?s_ExplosionList@WSExplosion@@1V?$PblListInv@VWSExplosion@@@@A@@YAXXZ",
"WSExplosion::F?ms_DeferredExplosionAllocator",0x8338e2a0,"??__F?ms_DeferredExplosionAllocator@WSExplosion@@0V?$WSLocalAllocator@UWSDeferredCreateExplosion@@$0CA@@@A@@YAXXZ",
"WSExplosion::F?ms_VictimAllocator",0x8338e278,"??__F?ms_VictimAllocator@WSExplosion@@0V?$WSLocalAllocator@UVictim@WSExplosion@@$0PP@@@A@@YAXXZ",
"WSExplosion::F?s_DeferredCreateExplosions",0x8338e228,"??__F?s_DeferredCreateExplosions@WSExplosion@@1V?$PblListInv@UWSDeferredCreateExplosion@@@@A@@YAXXZ",
"WSExplosion::F?s_ExplosionList",0x8338e250,"??__F?s_ExplosionList@WSExplosion@@1V?$PblListInv@VWSExplosion@@@@A@@YAXXZ",
"WSExplosion::Init",0x824650e0,"?Init@WSExplosion@@QAAXABVPblVector3@@@Z",
"WSExplosion::IsEmpty",0x824676b0,"?IsEmpty@WSExplosion@@QAA_NXZ",
"WSExplosion::IsVictimShieldedFromExplosion",0x82467318,"?IsVictimShieldedFromExplosion@WSExplosion@@AAA_NPAUVictim@1@@Z",
"WSExplosion::RemoveVictim",0x82467178,"?RemoveVictim@WSExplosion@@SAXPAVWSPhysicsObject@@@Z",
"WSExplosion::RemoveVictim",0x82467280,"?RemoveVictim@WSExplosion@@CAXAAV?$PblListInv@UVictim@WSExplosion@@@@PAUVictim@1@@Z",
"WSExplosion::UVictim::?$PblListInv::AddBefore",0x824693a8,"?AddBefore@?$PblListInv@UVictim@WSExplosion@@@@QAAXPAVNode@1@0PAUVictim@WSExplosion@@@Z",tmpl
"WSExplosion::UVictim::?$PblListInv::AddLast",0x82467c48,"?AddLast@?$PblListInv@UVictim@WSExplosion@@@@QAAXPAVNode@1@PAUVictim@WSExplosion@@@Z",tmpl
"WSExplosion::UVictim::?$PblListInv::GetFirst",0x824695b0,"?GetFirst@?$PblListInv@UVictim@WSExplosion@@@@QBAPAVNode@1@XZ",tmpl
"WSExplosion::UVictim::?$PblListInv::IsEmpty",0x82467a38,"?IsEmpty@?$PblListInv@UVictim@WSExplosion@@@@QBA_NXZ",tmpl
"WSExplosion::UVictim::?$PblListInv::Itor",0x82468e98,"??EItor@?$PblListInv@UVictim@WSExplosion@@@@QAAAAV01@XZ",tmpl
"WSExplosion::UVictim::?$PblListInv::Remove",0x82467a58,"?Remove@?$PblListInv@UVictim@WSExplosion@@@@QAAXPAVNode@1@@Z",tmpl
"WSExplosion::UVictim::?$PblListInv::RemoveAll",0x82467c00,"?RemoveAll@?$PblListInv@UVictim@WSExplosion@@@@QAAXXZ",tmpl
"WSExplosion::UVictim::?$PblListInv::operator cast",0x82468e60,"??BItor@?$PblListInv@UVictim@WSExplosion@@@@QBAPAUVictim@WSExplosion@@XZ",tmpl
"WSExplosion::UVictim::?$PblListInv::{ctor}",0x82468e28,"??0Itor@?$PblListInv@UVictim@WSExplosion@@@@QAA@ABV1@@Z",tmpl
"WSExplosion::UVictim::?$PblListInv::{ctor}",0x824695c0,"??0Node@?$PblListInv@UVictim@WSExplosion@@@@QAA@XZ",tmpl
"WSExplosion::UVictim::?$PblListInv::{dtor}",0x82469600,"??1Node@?$PblListInv@UVictim@WSExplosion@@@@QAA@XZ",tmpl
"WSExplosion::UVictim::?$WSLocalAllocator::Allocate",0x82467f60,"?Allocate@?$WSLocalAllocator@UVictim@WSExplosion@@$0PP@@@QAAPAUVictim@WSExplosion@@XZ",tmpl
"WSExplosion::UVictim::?$WSLocalAllocator::Deallocate",0x82468120,"?Deallocate@?$WSLocalAllocator@UVictim@WSExplosion@@$0PP@@@QAAXPAUVictim@WSExplosion@@@Z",tmpl
"WSExplosion::UVictim::?$WSLocalAllocator::InFreeList",0x824698d0,"?InFreeList@?$WSLocalAllocator@UVictim@WSExplosion@@$0PP@@@AAA_NE@Z",tmpl
"WSExplosion::UVictim::?$WSLocalAllocator::OutOfMemory",0x82469898,"?OutOfMemory@?$WSLocalAllocator@UVictim@WSExplosion@@$0PP@@@QAA_NXZ",tmpl
"WSExplosion::UVictim::{ctor}",0x82467910,"??0?$PblListInv@UVictim@WSExplosion@@@@QAA@XZ",tmpl
"WSExplosion::UVictim::{ctor}",0x8246a158,"??0?$WSLocalAllocator@UVictim@WSExplosion@@$0PP@@@QAA@XZ",tmpl
"WSExplosion::UVictim::{dtor}",0x82467980,"??1?$PblListInv@UVictim@WSExplosion@@@@QAA@XZ",tmpl
"WSExplosion::UVictim::{dtor}",0x8246a518,"??1?$WSLocalAllocator@UVictim@WSExplosion@@$0PP@@@QAA@XZ",tmpl
"WSExplosion::Update",0x82465b60,"?Update@WSExplosion@@UAAXM@Z",
"WSExplosion::UpdateDeferred",0x824663d0,"?UpdateDeferred@WSExplosion@@SAXXZ",
"WSExplosion::VictimShouldWait",0x824672c8,"?VictimShouldWait@WSExplosion@@AAA_NPAUVictim@1@@Z",
"WSExplosion::{ctor}",0x82468fd8,"??0Victim@WSExplosion@@QAA@XZ",
"WSExplosion::{dtor}",0x82469160,"??1Victim@WSExplosion@@QAA@XZ",
"WSExplosion::{scalar-dtor}",0x82469020,"??_GVictim@WSExplosion@@QAAPAXI@Z",
"WSExplosionBlueprint",0x8246afd0,"??_DWSExplosionBlueprint@@QAAXXZ",
"WSExplosionBlueprint::Build",0x8246aeb8,"?Build@WSExplosionBlueprint@@QAAXPAVWSParticleAttatchObject@@ABVPblVector3@@@Z",
"WSExplosionBlueprint::GetExplosionSound",0x8246ae38,"?GetExplosionSound@WSExplosionBlueprint@@QBA?AVPblCRC@@XZ",
"WSExplosionBlueprint::SetProperty",0x8246acd8,"?SetProperty@WSExplosionBlueprint@@UAA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSExplosionBlueprint::SetProperty",0x8246b378,"?SetProperty@WSExplosionBlueprint@@$4PPPPPPPM@A@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSGrenade::ApplyHitDamage",0x826ac050,"?ApplyHitDamage@WSGrenade@@UAAXPAVWSDamageDesc@@@Z",
"WSGrenade::Explode",0x826abed8,"?Explode@WSGrenade@@IAAXXZ",
"WSGunnerSeat::Die",0x825de1f0,"?Die@WSGunnerSeat@@UAAXXZ",
"WSHealthEffectFilter::ApplyDamage",0x8283b520,"?ApplyDamage@WSHealthEffectFilter@@QAAXPBVWSDamageDesc@@M@Z",
"WSHuman::ApplyDamage",0x824f0d00,"?ApplyDamage@WSHuman@@UAAXABVWSDamageDesc@@@Z",
"WSHuman::ApplyHitDamage",0x824f0618,"?ApplyHitDamage@WSHuman@@UAAXPAVWSDamageDesc@@@Z",
"WSHuman::Die",0x824f0f38,"?Die@WSHuman@@UAAXXZ",
"WSItem::ApplyHitDamage",0x826b2fc8,"?ApplyHitDamage@WSItem@@UAAXPAVWSDamageDesc@@@Z",
"WSModule::ApplyHitDamage",0x8248cd18,"?ApplyHitDamage@WSModule@@UAAXPAVWSDamageDesc@@@Z",
"WSPhysicsObject::ApplyHitDamage",0x829e9440,"?ApplyHitDamage@WSPhysicsObject@@QAAXPAVWSDamageDesc@@@Z",
"WSPlayer::ApplyDamage",0x825b3fa0,"?ApplyDamage@WSPlayer@@UAAXABVWSDamageDesc@@@Z",
"WSProp::ApplyDamage",0x8249bed8,"?ApplyDamage@WSProp@@UAAXABVWSDamageDesc@@@Z",
"WSProp::ApplyHitDamage",0x8249be90,"?ApplyHitDamage@WSProp@@UAAXPAVWSDamageDesc@@@Z",
"WSProp::Die",0x8249bf50,"?Die@WSProp@@UAAXXZ",
"WSSearchTurret::ApplyDamage",0x82632300,"?ApplyDamage@WSSearchTurret@@UAAXABVWSDamageDesc@@@Z",
"WSSearchTurret::ApplyHitDamage",0x826322a0,"?ApplyHitDamage@WSSearchTurret@@UAAXPAVWSDamageDesc@@@Z",
"WSSearchTurret::Die",0x82632340,"?Die@WSSearchTurret@@UAAXXZ",
"WSSearchTurret::Die",0x826332e8,"?Die@WSSearchTurret@@WBKI@AAXXZ",
"WSSearcherItem::ApplyDamage",0x825e5e98,"?ApplyDamage@WSSearcherItem@@UAAXABVWSDamageDesc@@@Z",
"WSSearcherItem::ApplyHitDamage",0x825e5e38,"?ApplyHitDamage@WSSearcherItem@@UAAXPAVWSDamageDesc@@@Z",
"WSSearcherItem::Die",0x825e5ed8,"?Die@WSSearcherItem@@UAAXXZ",
"WSSearcherSeat::Die",0x825e7dd8,"?Die@WSSearcherSeat@@UAAXXZ",
"WSSeat::Die",0x825ee2e0,"?Die@WSSeat@@UAAXXZ",
"WSTrainCarriage::ApplyDamage",0x82628d48,"?ApplyDamage@WSTrainCarriage@@UAAXABVWSDamageDesc@@@Z",
"WSTrainCarriage::ApplyHitDamage",0x82628db0,"?ApplyHitDamage@WSTrainCarriage@@UAAXPAVWSDamageDesc@@@Z",
"WSTrainCarriage::Die",0x82628e18,"?Die@WSTrainCarriage@@UAAXXZ",
"WSTrainCarriage::Die",0x8262d690,"?Die@WSTrainCarriage@@WEAA@AAXXZ",
"WSTrainItem::ApplyDamage",0x82630698,"?ApplyDamage@WSTrainItem@@UAAXABVWSDamageDesc@@@Z",
"WSTurret::ApplyDamage",0x826342e8,"?ApplyDamage@WSTurret@@UAAXABVWSDamageDesc@@@Z",
"WSTurret::ApplyHitDamage",0x82634288,"?ApplyHitDamage@WSTurret@@UAAXPAVWSDamageDesc@@@Z",
"WSTurret::Die",0x82634328,"?Die@WSTurret@@UAAXXZ",
"WSTurret::Die",0x82635488,"?Die@WSTurret@@WBMI@AAXXZ",
"WSVehicle::ApplyDamage",0x825d5538,"?ApplyDamage@WSVehicle@@UAAXABVWSDamageDesc@@@Z",
"WSVehicle::Die",0x825c7538,"?Die@WSVehicle@@WEAA@AAXXZ",
"WSVehicle::Die",0x825d56f0,"?Die@WSVehicle@@UAAXXZ",
"WSWeaponItem::ApplyDamage",0x826cf940,"?ApplyDamage@WSWeaponItem@@UAAXABVWSDamageDesc@@@Z",
"WSWeaponItem::ApplyHitDamage",0x826cf8c0,"?ApplyHitDamage@WSWeaponItem@@UAAXPAVWSDamageDesc@@@Z",
"WSWeaponItem::Die",0x826cfa28,"?Die@WSWeaponItem@@UAAXXZ",
